country,title,authors,abstract
Germany,"Governing heatwaves in Europe: comparing health policy and practices to better understand roles, responsibilities and collaboration.","Kirsten Vanderplanken, Peter van den Hazel, Michael Marx, Ahmad Zia Shams, Debarati Guha-Sapir, Joris Adriaan Frank van Loenhout","The expectation that climate change will further exacerbate extreme weather events such as heatwaves is of primary concern to policymakers and scientists. Effective governance is fundamental to preparedness for and response to such threats. This paper explores the governance structures of European heat health action plans and provides insights into key stakeholders, roles, responsibilities and collaboration."
Germany,"Heat Extremes, Public Health Impacts, and Adaptation Policy in Germany.","Hans-Guido Mücke, Jutta Maria Litvinovitch","Global warming with increasing weather extremes, like heat events, is enhancing impacts to public health. This essay focuses on unusual extreme summer heat extremes occurring in Germany at higher frequency, longer duration, and with new temperature records. Large areas of the country are affected, particularly urban settlements, where about 77% of the population lives, which are exposed to multiple inner-city threats, such as urban heat islands. Because harm to public health is directly released by high ambient air temperatures, local and national studies on heat-related morbidity and mortality indicate that vulnerable groups such as the elderly population are predominantly threatened with heat-related health problems. After the severe mortality impacts of the extreme summer heat 2003 in Europe, in 2008, Germany took up the National Adaptation Strategy on Climate Change to tackle and manage the impacts of weather extremes, for example to protect people's health against heat. Public health systems and services need to be better prepared to improve resilience to the effects of extreme heat events, e.g., by implementing heat health action plans. Both climate protection as well as adaptation are necessary in order to be able to respond as adequate as possible to the challenges posed by climate change."
Germany,[Thermal stress of urban dwellers during heat waves using the example of Freiburg (Breisgau)].,"Andreas Matzarakis, Stefan Muthers, Kathrin Graw","As a result of climate change, people are increasingly affected by heat and the negative health effects of heat. Air temperature is often used as a measurement. However, in order to characterize the effects of heat on humans, other factors must be considered in addition to air temperature."
Germany,[Heat-related morbidity: real-time surveillance via rescue service operations data from the interdisciplinary care capacity proof system (IVENA)].,"Katrin Steul, Hans-Georg Jung, Ursel Heudorf","In addition to mortality data, hospital admission, emergency department visits, and emergency service calls data are used for the surveillance of heat-related morbidity. We report on heat-associated morbidity in Frankfurt am Main from 2014-2018 using the web-based care capacity proof system (IVENA) of the rescue service operations."
Germany,Effects of ventilation behaviour on indoor heat load based on test reference years.,"Madeleine Rosenfelder, Christina Koppe, Jens Pfafferott, Andreas Matzarakis","Since 2003, most European countries established heat health warning systems to alert the population to heat load. Heat health warning systems are based on predicted meteorological conditions outdoors. But the majority of the European population spends a substantial amount of time indoors, and indoor thermal conditions can differ substantially from outdoor conditions. The German Meteorological Service (Deutscher Wetterdienst, DWD) extended the existing heat health warning system (HHWS) with a thermal building simulation model to consider heat load indoors. In this study, the thermal building simulation model is used to simulate a standardized building representing a modern nursing home, because elderly and sick people are most sensitive to heat stress. Different types of natural ventilation were simulated. Based on current and future test reference years, changes in the future heat load indoors were analyzed. Results show differences between the various ventilation options and the possibility to minimize the thermal heat stress during summer by using an appropriate ventilation method. Nighttime ventilation for indoor thermal comfort is most important. A fully opened window at nighttime and the 2-h ventilation in the morning and evening are more sufficient to avoid heat stress than a tilted window at nighttime and the 1-h ventilation in the morning and the evening. Especially the ventilation in the morning seems to be effective to keep the heat load indoors low. Comparing the results for the current and the future test reference years, an increase of heat stress on all ventilation types can be recognized."
Germany,[Health protection during heat waves: European recommendations and experience in Hesse].,"H A Grewe, S Heckenhahn, B Blättner",In the course of climate change periods of extreme heat will probably happen more frequently. The aim of heat health action plans is to prevent the health consequences of heat.
Colombia,Not found,Not found,Not found
Greece,An Occupational Heat-Health Warning System for Europe: The HEAT-SHIELD Platform.,"Marco Morabito, Alessandro Messeri, Pascal Noti, Ana Casanueva, Alfonso Crisci, Sven Kotlarski, Simone Orlandini, Cornelia Schwierz, Christoph Spirig, Boris R M Kingma, Andreas D Flouris, Lars Nybo","Existing heat-health warning systems focus on warning vulnerable groups in order to reduce mortality. However, human health and performance are affected at much lower environmental heat strain levels than those directly associated with higher mortality. Moreover, workers are at elevated health risks when exposed to prolonged heat. This study describes the multilingual ""HEAT-SHIELD occupational warning system"" platform (https://heatshield.zonalab.it/) operating for Europe and developed within the framework of the HEAT-SHIELD project. This system is based on probabilistic medium-range forecasts calibrated on approximately 1800 meteorological stations in Europe and provides the ensemble forecast of the daily maximum heat stress. The platform provides a non-customized output represented by a map showing the weekly maximum probability of exceeding a specific heat stress condition, for each of the four upcoming weeks. Customized output allows the forecast of the personalized local heat-stress-risk based on workers' physical, clothing and behavioral characteristics and the work environment (outdoors in the sun or shade), also taking into account heat acclimatization. Personal daily heat stress risk levels and behavioral suggestions (hydration and work breaks recommended) to be taken into consideration in the short term (5 days) are provided together with long-term heat risk forecasts (up to 46 days), all which are useful for planning work activities. The HEAT-SHIELD platform provides adaptation strategies for ""managing"" the impact of global warming."
Greece,Overview of Existing Heat-Health Warning Systems in Europe.,"Ana Casanueva, Annkatrin Burgstall, Sven Kotlarski, Alessandro Messeri, Marco Morabito, Andreas D Flouris, Lars Nybo, Christoph Spirig, Cornelia Schwierz","The frequency of extreme heat events, such as the summer of 2003 in Europe, and their corresponding consequences for human beings are expected to increase under a warmer climate. The joint collaboration of institutional agencies and multidisciplinary approaches is essential for a successful development of heat-health warning systems and action plans which can reduce the impacts of extreme heat on the population. The present work constitutes a state-of-the-art review of 16 European heat-health warning systems and heat-health action plans, based on the existing literature, web search (over the National Meteorological Services websites) and questionnaires. The aim of this study is to pave the way for future heat-health warning systems, such as the one currently under development in the framework of the Horizon 2020 HEAT-SHIELD project. Some aspects are highlighted among the variety of examined European warning systems. The meteorological variables that trigger the warnings should present a clear link with the impact under consideration and should be chosen depending on the purpose and target of the warnings. Setting long-term planning actions as well as pre-alert levels might prevent and reduce damages due to heat. Finally, education and communication are key elements of the success of a warning system."
Germany,"Physical Activity, Climate Change and Health-A Conceptual Model for Planning Public Health Action at the Organizational Level.","Sven Schneider, Alexandra von Winning, Fiona Grüger, Stefan Anderer, Robert Hoffner, Lilian Anderson","Climate change is linked to health risks for both professional and amateur athletes. Sports organisations will need to react to these developments. The starting point for this concept paper is a summary of the sport-specific health risks currently under discussion: increasing heatwaves, growing numbers of extreme weather events, rising UV, ozone and allergen levels and the spread of infectious diseases. Based on the current state of research, a conceptual model is developed to reduce these climate-related health risks in sports at organisational level. Given the wide variety of predicted direct and indirect health risks linked to climate change, the ""sports, clubs and climate change model"" (SC"
Germany,Towards a Generic Residential Building Model for Heat-Health Warning Systems.,"Jens Pfafferott, Sascha Rißmann, Guido Halbig, Franz Schröder, Sascha Saad","A strong heat load in buildings and cities during the summer is not a new phenomenon. However, prolonged heat waves and increasing urbanization are intensifying the heat island effect in our cities; hence, the heat exposure in residential buildings. The thermophysiological load in the interior and exterior environments can be reduced in the medium and long term, through urban planning and building physics measures. In the short term, an increasingly vulnerable population must be effectively informed of an impending heat wave. Building simulation models can be favorably used to evaluate indoor heat stress. This study presents a generic simulation model, developed from monitoring data in urban multi-unit residential buildings during a summer period and using statistical methods. The model determines both the average room temperature and its deviations and, thus, consists of three sub-models: cool, average, and warm building types. The simulation model is based on the same mathematical algorithm, whereas each building type is described by a specific data set, concerning its building physical parameters and user behavior, respectively. The generic building model may be used in urban climate analyses with many individual buildings distributed across the city or in heat-health warning systems, with different building and user types distributed across a region. An urban climate analysis (with weather data from a database) may evaluate local differences in urban and indoor climate, whereas heat-health warning systems (driven by a weather forecast) obtain additional information on indoor heat stress and its expected deviations."
Germany,"Governing heatwaves in Europe: comparing health policy and practices to better understand roles, responsibilities and collaboration.","Kirsten Vanderplanken, Peter van den Hazel, Michael Marx, Ahmad Zia Shams, Debarati Guha-Sapir, Joris Adriaan Frank van Loenhout","The expectation that climate change will further exacerbate extreme weather events such as heatwaves is of primary concern to policymakers and scientists. Effective governance is fundamental to preparedness for and response to such threats. This paper explores the governance structures of European heat health action plans and provides insights into key stakeholders, roles, responsibilities and collaboration."
Germany,"Heat Extremes, Public Health Impacts, and Adaptation Policy in Germany.","Hans-Guido Mücke, Jutta Maria Litvinovitch","Global warming with increasing weather extremes, like heat events, is enhancing impacts to public health. This essay focuses on unusual extreme summer heat extremes occurring in Germany at higher frequency, longer duration, and with new temperature records. Large areas of the country are affected, particularly urban settlements, where about 77% of the population lives, which are exposed to multiple inner-city threats, such as urban heat islands. Because harm to public health is directly released by high ambient air temperatures, local and national studies on heat-related morbidity and mortality indicate that vulnerable groups such as the elderly population are predominantly threatened with heat-related health problems. After the severe mortality impacts of the extreme summer heat 2003 in Europe, in 2008, Germany took up the National Adaptation Strategy on Climate Change to tackle and manage the impacts of weather extremes, for example to protect people's health against heat. Public health systems and services need to be better prepared to improve resilience to the effects of extreme heat events, e.g., by implementing heat health action plans. Both climate protection as well as adaptation are necessary in order to be able to respond as adequate as possible to the challenges posed by climate change."
Germany,[Thermal stress of urban dwellers during heat waves using the example of Freiburg (Breisgau)].,"Andreas Matzarakis, Stefan Muthers, Kathrin Graw","As a result of climate change, people are increasingly affected by heat and the negative health effects of heat. Air temperature is often used as a measurement. However, in order to characterize the effects of heat on humans, other factors must be considered in addition to air temperature."
Germany,[Heat-related morbidity: real-time surveillance via rescue service operations data from the interdisciplinary care capacity proof system (IVENA)].,"Katrin Steul, Hans-Georg Jung, Ursel Heudorf","In addition to mortality data, hospital admission, emergency department visits, and emergency service calls data are used for the surveillance of heat-related morbidity. We report on heat-associated morbidity in Frankfurt am Main from 2014-2018 using the web-based care capacity proof system (IVENA) of the rescue service operations."
Germany,Effects of ventilation behaviour on indoor heat load based on test reference years.,"Madeleine Rosenfelder, Christina Koppe, Jens Pfafferott, Andreas Matzarakis","Since 2003, most European countries established heat health warning systems to alert the population to heat load. Heat health warning systems are based on predicted meteorological conditions outdoors. But the majority of the European population spends a substantial amount of time indoors, and indoor thermal conditions can differ substantially from outdoor conditions. The German Meteorological Service (Deutscher Wetterdienst, DWD) extended the existing heat health warning system (HHWS) with a thermal building simulation model to consider heat load indoors. In this study, the thermal building simulation model is used to simulate a standardized building representing a modern nursing home, because elderly and sick people are most sensitive to heat stress. Different types of natural ventilation were simulated. Based on current and future test reference years, changes in the future heat load indoors were analyzed. Results show differences between the various ventilation options and the possibility to minimize the thermal heat stress during summer by using an appropriate ventilation method. Nighttime ventilation for indoor thermal comfort is most important. A fully opened window at nighttime and the 2-h ventilation in the morning and evening are more sufficient to avoid heat stress than a tilted window at nighttime and the 1-h ventilation in the morning and the evening. Especially the ventilation in the morning seems to be effective to keep the heat load indoors low. Comparing the results for the current and the future test reference years, an increase of heat stress on all ventilation types can be recognized."
Germany,[Health protection during heat waves: European recommendations and experience in Hesse].,"H A Grewe, S Heckenhahn, B Blättner",In the course of climate change periods of extreme heat will probably happen more frequently. The aim of heat health action plans is to prevent the health consequences of heat.
Colombia,Not found,Not found,Not found
France,How can a climate change perspective be integrated into public health surveillance?,"M Pascal, A C Viso, S Medina, M C Delmas, P Beaudeau","Climate change may be considered as a key factor for environmental change, exposure to health risks and pathogens, consequently impairing the state of health among populations. Efficient health surveillance systems are required to support adaptation to climate change. However, despite a growing awareness, the public health surveillance sector has had very little involvement in the drafting of adaptation plans. This paper proposes a method to raise awareness about climate change in the public health community, to identify possible health risks and to assess the needs for reinforced health surveillance systems."
France,How emergency departments might alert for prehospital heat-related excess mortality?,"Yann-Erick Claessens, Pierre Taupin, Gérald Kierzek, Jean-Louis Pourriat, Michel Baud, Christine Ginsburg, Jean-Philippe Jais, Eric Jougla, Bruno Riou, Jean-François Dhainaut, Paul Landais","A major issue raised by the public health consequences of a heat wave is the difficulty of detecting its direct consequences on patient outcome, particularly because of the delay in obtaining definitive mortality results. Since emergency department (ED) activity reflects the global increase of patients' health problems during this period, the profile of patients referred to EDs might be a basis to detect an excess mortality in the catchment area. Our objective was to develop a real-time surveillance model based on ED data to detect excessive heat-related mortality as early as possible."
Greece,An Occupational Heat-Health Warning System for Europe: The HEAT-SHIELD Platform.,"Marco Morabito, Alessandro Messeri, Pascal Noti, Ana Casanueva, Alfonso Crisci, Sven Kotlarski, Simone Orlandini, Cornelia Schwierz, Christoph Spirig, Boris R M Kingma, Andreas D Flouris, Lars Nybo","Existing heat-health warning systems focus on warning vulnerable groups in order to reduce mortality. However, human health and performance are affected at much lower environmental heat strain levels than those directly associated with higher mortality. Moreover, workers are at elevated health risks when exposed to prolonged heat. This study describes the multilingual ""HEAT-SHIELD occupational warning system"" platform (https://heatshield.zonalab.it/) operating for Europe and developed within the framework of the HEAT-SHIELD project. This system is based on probabilistic medium-range forecasts calibrated on approximately 1800 meteorological stations in Europe and provides the ensemble forecast of the daily maximum heat stress. The platform provides a non-customized output represented by a map showing the weekly maximum probability of exceeding a specific heat stress condition, for each of the four upcoming weeks. Customized output allows the forecast of the personalized local heat-stress-risk based on workers' physical, clothing and behavioral characteristics and the work environment (outdoors in the sun or shade), also taking into account heat acclimatization. Personal daily heat stress risk levels and behavioral suggestions (hydration and work breaks recommended) to be taken into consideration in the short term (5 days) are provided together with long-term heat risk forecasts (up to 46 days), all which are useful for planning work activities. The HEAT-SHIELD platform provides adaptation strategies for ""managing"" the impact of global warming."
Greece,Overview of Existing Heat-Health Warning Systems in Europe.,"Ana Casanueva, Annkatrin Burgstall, Sven Kotlarski, Alessandro Messeri, Marco Morabito, Andreas D Flouris, Lars Nybo, Christoph Spirig, Cornelia Schwierz","The frequency of extreme heat events, such as the summer of 2003 in Europe, and their corresponding consequences for human beings are expected to increase under a warmer climate. The joint collaboration of institutional agencies and multidisciplinary approaches is essential for a successful development of heat-health warning systems and action plans which can reduce the impacts of extreme heat on the population. The present work constitutes a state-of-the-art review of 16 European heat-health warning systems and heat-health action plans, based on the existing literature, web search (over the National Meteorological Services websites) and questionnaires. The aim of this study is to pave the way for future heat-health warning systems, such as the one currently under development in the framework of the Horizon 2020 HEAT-SHIELD project. Some aspects are highlighted among the variety of examined European warning systems. The meteorological variables that trigger the warnings should present a clear link with the impact under consideration and should be chosen depending on the purpose and target of the warnings. Setting long-term planning actions as well as pre-alert levels might prevent and reduce damages due to heat. Finally, education and communication are key elements of the success of a warning system."
Germany,"Physical Activity, Climate Change and Health-A Conceptual Model for Planning Public Health Action at the Organizational Level.","Sven Schneider, Alexandra von Winning, Fiona Grüger, Stefan Anderer, Robert Hoffner, Lilian Anderson","Climate change is linked to health risks for both professional and amateur athletes. Sports organisations will need to react to these developments. The starting point for this concept paper is a summary of the sport-specific health risks currently under discussion: increasing heatwaves, growing numbers of extreme weather events, rising UV, ozone and allergen levels and the spread of infectious diseases. Based on the current state of research, a conceptual model is developed to reduce these climate-related health risks in sports at organisational level. Given the wide variety of predicted direct and indirect health risks linked to climate change, the ""sports, clubs and climate change model"" (SC"
Germany,Towards a Generic Residential Building Model for Heat-Health Warning Systems.,"Jens Pfafferott, Sascha Rißmann, Guido Halbig, Franz Schröder, Sascha Saad","A strong heat load in buildings and cities during the summer is not a new phenomenon. However, prolonged heat waves and increasing urbanization are intensifying the heat island effect in our cities; hence, the heat exposure in residential buildings. The thermophysiological load in the interior and exterior environments can be reduced in the medium and long term, through urban planning and building physics measures. In the short term, an increasingly vulnerable population must be effectively informed of an impending heat wave. Building simulation models can be favorably used to evaluate indoor heat stress. This study presents a generic simulation model, developed from monitoring data in urban multi-unit residential buildings during a summer period and using statistical methods. The model determines both the average room temperature and its deviations and, thus, consists of three sub-models: cool, average, and warm building types. The simulation model is based on the same mathematical algorithm, whereas each building type is described by a specific data set, concerning its building physical parameters and user behavior, respectively. The generic building model may be used in urban climate analyses with many individual buildings distributed across the city or in heat-health warning systems, with different building and user types distributed across a region. An urban climate analysis (with weather data from a database) may evaluate local differences in urban and indoor climate, whereas heat-health warning systems (driven by a weather forecast) obtain additional information on indoor heat stress and its expected deviations."
Germany,"Governing heatwaves in Europe: comparing health policy and practices to better understand roles, responsibilities and collaboration.","Kirsten Vanderplanken, Peter van den Hazel, Michael Marx, Ahmad Zia Shams, Debarati Guha-Sapir, Joris Adriaan Frank van Loenhout","The expectation that climate change will further exacerbate extreme weather events such as heatwaves is of primary concern to policymakers and scientists. Effective governance is fundamental to preparedness for and response to such threats. This paper explores the governance structures of European heat health action plans and provides insights into key stakeholders, roles, responsibilities and collaboration."
Germany,"Heat Extremes, Public Health Impacts, and Adaptation Policy in Germany.","Hans-Guido Mücke, Jutta Maria Litvinovitch","Global warming with increasing weather extremes, like heat events, is enhancing impacts to public health. This essay focuses on unusual extreme summer heat extremes occurring in Germany at higher frequency, longer duration, and with new temperature records. Large areas of the country are affected, particularly urban settlements, where about 77% of the population lives, which are exposed to multiple inner-city threats, such as urban heat islands. Because harm to public health is directly released by high ambient air temperatures, local and national studies on heat-related morbidity and mortality indicate that vulnerable groups such as the elderly population are predominantly threatened with heat-related health problems. After the severe mortality impacts of the extreme summer heat 2003 in Europe, in 2008, Germany took up the National Adaptation Strategy on Climate Change to tackle and manage the impacts of weather extremes, for example to protect people's health against heat. Public health systems and services need to be better prepared to improve resilience to the effects of extreme heat events, e.g., by implementing heat health action plans. Both climate protection as well as adaptation are necessary in order to be able to respond as adequate as possible to the challenges posed by climate change."
Germany,[Thermal stress of urban dwellers during heat waves using the example of Freiburg (Breisgau)].,"Andreas Matzarakis, Stefan Muthers, Kathrin Graw","As a result of climate change, people are increasingly affected by heat and the negative health effects of heat. Air temperature is often used as a measurement. However, in order to characterize the effects of heat on humans, other factors must be considered in addition to air temperature."
Germany,[Heat-related morbidity: real-time surveillance via rescue service operations data from the interdisciplinary care capacity proof system (IVENA)].,"Katrin Steul, Hans-Georg Jung, Ursel Heudorf","In addition to mortality data, hospital admission, emergency department visits, and emergency service calls data are used for the surveillance of heat-related morbidity. We report on heat-associated morbidity in Frankfurt am Main from 2014-2018 using the web-based care capacity proof system (IVENA) of the rescue service operations."
Germany,Effects of ventilation behaviour on indoor heat load based on test reference years.,"Madeleine Rosenfelder, Christina Koppe, Jens Pfafferott, Andreas Matzarakis","Since 2003, most European countries established heat health warning systems to alert the population to heat load. Heat health warning systems are based on predicted meteorological conditions outdoors. But the majority of the European population spends a substantial amount of time indoors, and indoor thermal conditions can differ substantially from outdoor conditions. The German Meteorological Service (Deutscher Wetterdienst, DWD) extended the existing heat health warning system (HHWS) with a thermal building simulation model to consider heat load indoors. In this study, the thermal building simulation model is used to simulate a standardized building representing a modern nursing home, because elderly and sick people are most sensitive to heat stress. Different types of natural ventilation were simulated. Based on current and future test reference years, changes in the future heat load indoors were analyzed. Results show differences between the various ventilation options and the possibility to minimize the thermal heat stress during summer by using an appropriate ventilation method. Nighttime ventilation for indoor thermal comfort is most important. A fully opened window at nighttime and the 2-h ventilation in the morning and evening are more sufficient to avoid heat stress than a tilted window at nighttime and the 1-h ventilation in the morning and the evening. Especially the ventilation in the morning seems to be effective to keep the heat load indoors low. Comparing the results for the current and the future test reference years, an increase of heat stress on all ventilation types can be recognized."
Germany,[Health protection during heat waves: European recommendations and experience in Hesse].,"H A Grewe, S Heckenhahn, B Blättner",In the course of climate change periods of extreme heat will probably happen more frequently. The aim of heat health action plans is to prevent the health consequences of heat.
Colombia,Not found,Not found,Not found
France,How can a climate change perspective be integrated into public health surveillance?,"M Pascal, A C Viso, S Medina, M C Delmas, P Beaudeau","Climate change may be considered as a key factor for environmental change, exposure to health risks and pathogens, consequently impairing the state of health among populations. Efficient health surveillance systems are required to support adaptation to climate change. However, despite a growing awareness, the public health surveillance sector has had very little involvement in the drafting of adaptation plans. This paper proposes a method to raise awareness about climate change in the public health community, to identify possible health risks and to assess the needs for reinforced health surveillance systems."
France,How emergency departments might alert for prehospital heat-related excess mortality?,"Yann-Erick Claessens, Pierre Taupin, Gérald Kierzek, Jean-Louis Pourriat, Michel Baud, Christine Ginsburg, Jean-Philippe Jais, Eric Jougla, Bruno Riou, Jean-François Dhainaut, Paul Landais","A major issue raised by the public health consequences of a heat wave is the difficulty of detecting its direct consequences on patient outcome, particularly because of the delay in obtaining definitive mortality results. Since emergency department (ED) activity reflects the global increase of patients' health problems during this period, the profile of patients referred to EDs might be a basis to detect an excess mortality in the catchment area. Our objective was to develop a real-time surveillance model based on ED data to detect excessive heat-related mortality as early as possible."
Andorra,Not found,Not found,Not found
Greece,An Occupational Heat-Health Warning System for Europe: The HEAT-SHIELD Platform.,"Marco Morabito, Alessandro Messeri, Pascal Noti, Ana Casanueva, Alfonso Crisci, Sven Kotlarski, Simone Orlandini, Cornelia Schwierz, Christoph Spirig, Boris R M Kingma, Andreas D Flouris, Lars Nybo","Existing heat-health warning systems focus on warning vulnerable groups in order to reduce mortality. However, human health and performance are affected at much lower environmental heat strain levels than those directly associated with higher mortality. Moreover, workers are at elevated health risks when exposed to prolonged heat. This study describes the multilingual ""HEAT-SHIELD occupational warning system"" platform (https://heatshield.zonalab.it/) operating for Europe and developed within the framework of the HEAT-SHIELD project. This system is based on probabilistic medium-range forecasts calibrated on approximately 1800 meteorological stations in Europe and provides the ensemble forecast of the daily maximum heat stress. The platform provides a non-customized output represented by a map showing the weekly maximum probability of exceeding a specific heat stress condition, for each of the four upcoming weeks. Customized output allows the forecast of the personalized local heat-stress-risk based on workers' physical, clothing and behavioral characteristics and the work environment (outdoors in the sun or shade), also taking into account heat acclimatization. Personal daily heat stress risk levels and behavioral suggestions (hydration and work breaks recommended) to be taken into consideration in the short term (5 days) are provided together with long-term heat risk forecasts (up to 46 days), all which are useful for planning work activities. The HEAT-SHIELD platform provides adaptation strategies for ""managing"" the impact of global warming."
Greece,Overview of Existing Heat-Health Warning Systems in Europe.,"Ana Casanueva, Annkatrin Burgstall, Sven Kotlarski, Alessandro Messeri, Marco Morabito, Andreas D Flouris, Lars Nybo, Christoph Spirig, Cornelia Schwierz","The frequency of extreme heat events, such as the summer of 2003 in Europe, and their corresponding consequences for human beings are expected to increase under a warmer climate. The joint collaboration of institutional agencies and multidisciplinary approaches is essential for a successful development of heat-health warning systems and action plans which can reduce the impacts of extreme heat on the population. The present work constitutes a state-of-the-art review of 16 European heat-health warning systems and heat-health action plans, based on the existing literature, web search (over the National Meteorological Services websites) and questionnaires. The aim of this study is to pave the way for future heat-health warning systems, such as the one currently under development in the framework of the Horizon 2020 HEAT-SHIELD project. Some aspects are highlighted among the variety of examined European warning systems. The meteorological variables that trigger the warnings should present a clear link with the impact under consideration and should be chosen depending on the purpose and target of the warnings. Setting long-term planning actions as well as pre-alert levels might prevent and reduce damages due to heat. Finally, education and communication are key elements of the success of a warning system."
Germany,"Physical Activity, Climate Change and Health-A Conceptual Model for Planning Public Health Action at the Organizational Level.","Sven Schneider, Alexandra von Winning, Fiona Grüger, Stefan Anderer, Robert Hoffner, Lilian Anderson","Climate change is linked to health risks for both professional and amateur athletes. Sports organisations will need to react to these developments. The starting point for this concept paper is a summary of the sport-specific health risks currently under discussion: increasing heatwaves, growing numbers of extreme weather events, rising UV, ozone and allergen levels and the spread of infectious diseases. Based on the current state of research, a conceptual model is developed to reduce these climate-related health risks in sports at organisational level. Given the wide variety of predicted direct and indirect health risks linked to climate change, the ""sports, clubs and climate change model"" (SC"
Germany,Towards a Generic Residential Building Model for Heat-Health Warning Systems.,"Jens Pfafferott, Sascha Rißmann, Guido Halbig, Franz Schröder, Sascha Saad","A strong heat load in buildings and cities during the summer is not a new phenomenon. However, prolonged heat waves and increasing urbanization are intensifying the heat island effect in our cities; hence, the heat exposure in residential buildings. The thermophysiological load in the interior and exterior environments can be reduced in the medium and long term, through urban planning and building physics measures. In the short term, an increasingly vulnerable population must be effectively informed of an impending heat wave. Building simulation models can be favorably used to evaluate indoor heat stress. This study presents a generic simulation model, developed from monitoring data in urban multi-unit residential buildings during a summer period and using statistical methods. The model determines both the average room temperature and its deviations and, thus, consists of three sub-models: cool, average, and warm building types. The simulation model is based on the same mathematical algorithm, whereas each building type is described by a specific data set, concerning its building physical parameters and user behavior, respectively. The generic building model may be used in urban climate analyses with many individual buildings distributed across the city or in heat-health warning systems, with different building and user types distributed across a region. An urban climate analysis (with weather data from a database) may evaluate local differences in urban and indoor climate, whereas heat-health warning systems (driven by a weather forecast) obtain additional information on indoor heat stress and its expected deviations."
Germany,"Governing heatwaves in Europe: comparing health policy and practices to better understand roles, responsibilities and collaboration.","Kirsten Vanderplanken, Peter van den Hazel, Michael Marx, Ahmad Zia Shams, Debarati Guha-Sapir, Joris Adriaan Frank van Loenhout","The expectation that climate change will further exacerbate extreme weather events such as heatwaves is of primary concern to policymakers and scientists. Effective governance is fundamental to preparedness for and response to such threats. This paper explores the governance structures of European heat health action plans and provides insights into key stakeholders, roles, responsibilities and collaboration."
Germany,"Heat Extremes, Public Health Impacts, and Adaptation Policy in Germany.","Hans-Guido Mücke, Jutta Maria Litvinovitch","Global warming with increasing weather extremes, like heat events, is enhancing impacts to public health. This essay focuses on unusual extreme summer heat extremes occurring in Germany at higher frequency, longer duration, and with new temperature records. Large areas of the country are affected, particularly urban settlements, where about 77% of the population lives, which are exposed to multiple inner-city threats, such as urban heat islands. Because harm to public health is directly released by high ambient air temperatures, local and national studies on heat-related morbidity and mortality indicate that vulnerable groups such as the elderly population are predominantly threatened with heat-related health problems. After the severe mortality impacts of the extreme summer heat 2003 in Europe, in 2008, Germany took up the National Adaptation Strategy on Climate Change to tackle and manage the impacts of weather extremes, for example to protect people's health against heat. Public health systems and services need to be better prepared to improve resilience to the effects of extreme heat events, e.g., by implementing heat health action plans. Both climate protection as well as adaptation are necessary in order to be able to respond as adequate as possible to the challenges posed by climate change."
Germany,[Thermal stress of urban dwellers during heat waves using the example of Freiburg (Breisgau)].,"Andreas Matzarakis, Stefan Muthers, Kathrin Graw","As a result of climate change, people are increasingly affected by heat and the negative health effects of heat. Air temperature is often used as a measurement. However, in order to characterize the effects of heat on humans, other factors must be considered in addition to air temperature."
Germany,[Heat-related morbidity: real-time surveillance via rescue service operations data from the interdisciplinary care capacity proof system (IVENA)].,"Katrin Steul, Hans-Georg Jung, Ursel Heudorf","In addition to mortality data, hospital admission, emergency department visits, and emergency service calls data are used for the surveillance of heat-related morbidity. We report on heat-associated morbidity in Frankfurt am Main from 2014-2018 using the web-based care capacity proof system (IVENA) of the rescue service operations."
Germany,Effects of ventilation behaviour on indoor heat load based on test reference years.,"Madeleine Rosenfelder, Christina Koppe, Jens Pfafferott, Andreas Matzarakis","Since 2003, most European countries established heat health warning systems to alert the population to heat load. Heat health warning systems are based on predicted meteorological conditions outdoors. But the majority of the European population spends a substantial amount of time indoors, and indoor thermal conditions can differ substantially from outdoor conditions. The German Meteorological Service (Deutscher Wetterdienst, DWD) extended the existing heat health warning system (HHWS) with a thermal building simulation model to consider heat load indoors. In this study, the thermal building simulation model is used to simulate a standardized building representing a modern nursing home, because elderly and sick people are most sensitive to heat stress. Different types of natural ventilation were simulated. Based on current and future test reference years, changes in the future heat load indoors were analyzed. Results show differences between the various ventilation options and the possibility to minimize the thermal heat stress during summer by using an appropriate ventilation method. Nighttime ventilation for indoor thermal comfort is most important. A fully opened window at nighttime and the 2-h ventilation in the morning and evening are more sufficient to avoid heat stress than a tilted window at nighttime and the 1-h ventilation in the morning and the evening. Especially the ventilation in the morning seems to be effective to keep the heat load indoors low. Comparing the results for the current and the future test reference years, an increase of heat stress on all ventilation types can be recognized."
Germany,[Health protection during heat waves: European recommendations and experience in Hesse].,"H A Grewe, S Heckenhahn, B Blättner",In the course of climate change periods of extreme heat will probably happen more frequently. The aim of heat health action plans is to prevent the health consequences of heat.
Colombia,Not found,Not found,Not found
France,How can a climate change perspective be integrated into public health surveillance?,"M Pascal, A C Viso, S Medina, M C Delmas, P Beaudeau","Climate change may be considered as a key factor for environmental change, exposure to health risks and pathogens, consequently impairing the state of health among populations. Efficient health surveillance systems are required to support adaptation to climate change. However, despite a growing awareness, the public health surveillance sector has had very little involvement in the drafting of adaptation plans. This paper proposes a method to raise awareness about climate change in the public health community, to identify possible health risks and to assess the needs for reinforced health surveillance systems."
